match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
319134,2008-04-10,ODI,West Indies,Sri Lanka,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,West Indies
319135,2008-04-12,ODI,West Indies,Sri Lanka,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,West Indies
319136,2008-04-15,ODI,West Indies,Sri Lanka,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,
319143,2008-06-24,ODI,West Indies,Australia,"Arnos Vale Ground, Kingstown",St Vincent,West Indies,Australia
319144,2008-06-27,ODI,West Indies,Australia,"National Cricket Stadium, St George's",Grenada,Australia,Australia
319145,2008-06-29,ODI,West Indies,Australia,"National Cricket Stadium, St George's",Grenada,Australia,Australia
319146,2008-07-04,ODI,West Indies,Australia,"Warner Park, Basseterre",St Kitts,West Indies,Australia
319147,2008-07-06,ODI,West Indies,Australia,"Warner Park, Basseterre",St Kitts,Australia,Australia
323949,2008-03-09,ODI,Bangladesh,South Africa,Chittagong Divisional Stadium,,Bangladesh,South Africa
323950,2008-03-12,ODI,Bangladesh,South Africa,Shere Bangla National Stadium,Mirpur,Bangladesh,South Africa
323951,2008-03-14,ODI,Bangladesh,South Africa,Shere Bangla National Stadium,Mirpur,Bangladesh,South Africa
325569,2008-06-29,ODI,Canada,Bermuda,Maple Leaf North-West Ground,King City,Canada,Bermuda
325572,2008-08-12,ODI,Scotland,Kenya,Cambusdoon New Ground,Ayr,Scotland,
325576,2008-08-25,ODI,Ireland,Kenya,"Civil Service Cricket Club, Stormont",Belfast,Kenya,
325579,2008-07-29,ODI,Netherlands,Scotland,Clontarf Cricket Club Ground,Dublin,Netherlands,Scotland
325580,2008-07-31,ODI,Ireland,Scotland,Clontarf Cricket Club Ground,Dublin,Ireland,Ireland
325581,2008-10-17,ODI,Ireland,Zimbabwe,Gymkhana Club Ground,Nairobi,Zimbabwe,Zimbabwe
325800,2008-01-21,ODI,Pakistan,Zimbabwe,National Stadium,Karachi,Zimbabwe,Pakistan
325801,2008-01-24,ODI,Pakistan,Zimbabwe,"Niaz Stadium, Hyderabad",Sind,Zimbabwe,Pakistan
325802,2008-01-27,ODI,Pakistan,Zimbabwe,Multan Cricket Stadium,,Pakistan,Pakistan
